x,y,z
56.15050848411292,68.53318894615012,a
80.13695744001434,42.068425994942174,a
42.569317482657006,97.08547365065101,a
55.83013139944962,80.09056962074226,a
143.2830687101388,153.28332610898235,a
134.4409989323449,131.62701254987797,a
165.89905132328485,168.65612309232677,a
226.69529481198524,193.5847717085042,a
224.9266073732275,186.42526941858893,a
295.52548360746704,156.65276747316454,a
299.5187969719526,226.8353288190167,a
312.5491619085355,226.2042782284367,a
319.52517369109654,259.166450564084,a
330.45949726156414,211.28945041988055,a
317.5318830946267,218.68559587088083,a
338.50667409181614,200.95516400841439,a
381.25421173480015,231.3459143936622,a
440.3957434215828,263.84932970113346,a
393.0464508260532,265.45703712637504,a
407.2716158922472,298.7490545621606,a
430.63116077856563,288.7559383664758,a
380.9455749544166,287.7076875855375,a
427.712680041268,270.08852956996236,a
456.34407888444986,312.68523454588217,a
495.55146676116175,320.2177747194985,a
507.88397536695413,329.7126627931078,a
495.40614259991565,308.63598306950985,a
485.8789197261203,347.27169251730083,a
512.9926680329818,368.1504843338481,a
564.2850566678514,324.9014735397062,a
538.3309405032016,394.86162835539096,a
543.9895706762819,343.6874136786214,a
544.5901771018276,343.35718747864655,a
640.4029717412658,325.1866426211896,a
641.8518104279676,367.3088638034899,a
564.4799040018141,393.06797581012864,a
555.3429267565801,341.6215589479096,a
601.5215816682131,402.3384824566349,a
652.3847325790949,396.07373913371407,a
625.2119697390322,381.3242405425931,a
628.0161760131606,396.36484125527977,a
615.7941521456385,417.21158567132284,a
645.868706422999,377.62116258671455,a
632.0017441102132,391.7752285227093,a
586.8547279463045,364.76763812308013,a
617.0917885833153,385.620711184847,a
602.015496617853,392.728056070774,a
554.1872805842343,333.00731379500684,a
546.6395437377814,356.66807102582095,a
529.6154254150966,345.69147487006853,a
469.73459013547335,364.03674436489894,a
466.4245464943826,296.25142075619056,a
491.2009602513577,328.8128939905621,a
468.7129696066279,277.0236655928817,a
441.107766740893,291.0877117472986,a
416.88121095613735,247.94043788437568,a
449.33092759631563,273.966630275522,a
423.10664761055557,237.5030074662891,a
451.52899499137914,259.9930338754138,a
390.0454432793974,215.13967212600494,a
363.4850662768719,207.26871973415257,a
363.0576432796882,192.12490524562077,a
397.744249621574,223.87300720084124,a
330.9875554618569,201.18024813465547,a
290.5943442973946,189.96166281273446,a
237.1316801423353,199.02254530598924,a
274.38852139371613,165.58055334754584,a
267.7758110821143,193.70557427120013,a
304.1307442778866,133.71293047550347,a
265.5209624454737,147.97873758051213,a
242.28180347531065,182.99756636919705,a
208.75390582660557,123.35731366642375,a
214.04236285071997,80.02489603769243,a
270.82465956324734,88.89346929114657,a
232.50882203051623,107.6153965476434,a
208.67335859216496,80.12934390894497,a
213.84278250787952,100.93184786600563,a
188.334460812045,71.78267914561343,a
137.13623880695997,90.32488273823805,a
180.22218766076838,84.46823341683029,a
207.08588871058768,60.8249848127561,a
152.5631670959216,71.66952089842187,a
166.81286905302102,72.37640282767842,a
163.6404184639159,73.28883085475059,a
145.33772239295516,91.41452552110565,a
82.91651989449717,34.06511344567406,a
183.55204542224155,20.685226577696312,a
117.44867091157218,53.33616358356619,a
110.3836054421613,76.4152914672411,a
150.96841841972736,22.805686239479257,a
110.17299152523816,41.29655953993171,a
106.79167809552837,56.76143958863196,a
65.08987212068811,78.94637759994066,a
101.73217379948726,31.03450714902243,a
142.76389511249522,46.328458758032184,a
156.54357658066317,44.39438194921553,a
120.66227229596042,45.92912309727876,a
86.19076216870224,54.87292856763838,a
80.31123427617355,-6.8502204376204645,a
46.60801548887807,7.889325524183619,a
64.868315934977,13.911165325616594,a
108.81829078252501,5.902720880613003,a
66.34131791191032,31.390556891579536,a
76.03914825107229,19.72726633211215,a
75.46340116016874,42.58175566124828,a
64.38709889496886,28.011195506405784,a
88.30863532578306,43.09573820493193,a
116.13729869943002,32.44598715003991,a
79.83757299889899,53.70104075625494,a
97.91883498418449,71.4245062775712,a
111.09763087418565,103.9409773030722,a
160.08028710193815,141.9769744646419,a
189.7177244294748,153.30367231057028,a
171.7164605364961,133.55429212755075,a
176.45893101121763,121.88466884711431,a
218.18140233416287,153.55755908807095,a
238.14542841534842,193.15120924148255,a
258.5514980211328,169.64694545743032,a
283.48219803166205,241.20899026675085,a
282.5028046685967,212.82581332624835,a
293.840223149093,201.73677918302576,a
276.8786364960193,184.96141056318197,a
316.64987785796706,239.21051154525668,a
345.3270075892562,266.59858461595957,a
318.92188338375826,268.7696224132171,a
432.20278349419306,296.3563660406056,a
409.4188575970433,326.590487603547,a
503.88389816950973,347.0926684134665,a
473.2371701317729,361.3094807784786,a
532.8067213060036,414.29000379574563,a
509.2893125967193,393.3421876476954,a
569.3988443446675,385.7016082761727,a
590.1585096015325,383.0245382132296,a
540.7369674879109,442.08636192635515,a
602.6224652589776,408.8142956144983,a
587.3975251330762,459.6883544713259,a
616.6128486041125,446.0620869141394,a
581.7271947389859,435.1825980306455,a
611.894713666842,413.95967186083436,a
607.9692644249151,414.4228132273229,a
629.8601563830837,388.3200088402568,a
601.2988582273422,459.718137918717,a
615.0139720125204,482.02145146707045,a
659.9090415425298,434.69469660757164,a
654.3294013353762,424.11588305188997,a
616.9570226166088,389.01384557938724,a
695.8082824473718,423.7427815181349,a
644.5439898670198,500.00167891637227,a
656.6053407906988,458.8640999968585,a
666.5764950509996,449.3548343434122,a
676.8680668857758,459.1750115140678,a
610.9680537811034,421.73296144073225,a
659.3851991148206,434.712461032077,a
693.0117939802884,471.747288597853,a
722.6264876530396,411.4849019430648,a
661.7043037655817,422.4430991470578,a
707.774217739833,450.93842103296254,a
686.7109677121896,440.78476967623897,a
672.2891632628405,472.16954870249606,a
651.8033913613011,418.76241673693755,a
688.7402864803032,423.3377502969396,a
635.2109783621615,357.0537195735226,a
666.0096587744307,431.0986185532073,a
571.656711731869,410.47678279280154,a
559.797478672886,423.75435394454644,a
590.816364223807,381.4965973717431,a
521.6083897625108,311.7731120224279,a
531.4050651905078,379.69988363810234,a
568.9403504111027,404.6332388673299,a
535.889906330909,325.5122454840236,a
478.84532954425595,340.2674955925138,a
481.69556605755946,358.4223501264935,a
457.4743777890455,376.86360126028137,a
454.5393063165926,351.98952292444295,a
454.23158397537065,376.62997316470955,a
469.4720674228429,340.73434996413897,a
426.92603982167134,312.574362773438,a
426.2559202353455,294.2971240332225,a
456.97254606024734,308.31485806119656,a
394.8563983809449,284.701083357695,a
434.2235641466238,269.7755749689461,a
398.7442345259386,201.50410784910645,a
398.2848385007771,280.8752200689296,a
369.2077957451881,257.0558731915796,a
387.3140234849045,282.6228108999711,a
341.3924010679972,272.9769700727063,a
363.0212631616042,207.22077916566138,a
281.2750376778829,226.58436371240782,a
330.445458822972,183.87918148877156,a
324.95251976549895,179.3507490554822,a
314.54659846693426,193.56985586365488,a
269.58326663502584,136.27938545519265,a
285.5322061479816,130.5871506825439,a
252.01062719977878,133.7634182977447,a
269.4080073018581,132.86804577723677,a
257.91317307459695,144.98793429260496,a
227.00999363502126,104.50655335718812,a
219.41509319174963,101.18130698412341,a
245.76997333264316,110.68155772458465,a
229.2792500528362,95.85802361034462,a
211.08030032091608,106.08441652756022,a
279.9595961885177,78.5918646823987,a
